"c_chave";"c_codprod";"c_descr"
"0000004257";"00535";"LIMAO TAITI KG"
"0000004263";"00535";"LIMAO TAITI KG"
"0000004366";"00535";"LIMAO TAITI KG"
"0000004477";"00535";"LIMAO TAITI KG"
"0000004537";"00535";"LIMAO TAITI KG"
"0000004558";"00535";"LIMAO TAITI KG"
"0000003421";"00536";"MAXIXE KG"
"0000003551";"00536";"MAXIXE KG"
"0000003720";"00536";"MAXIXE KG"
"0000003945";"00536";"MAXIXE KG"
"0000004058";"00536";"MAXIXE KG"
"0000004155";"00536";"MAXIXE KG"
"0000004257";"00536";"MAXIXE KG"
"0000004263";"00536";"MAXIXE KG"
"0000004366";"00536";"MAXIXE KG"
"0000004477";"00536";"MAXIXE KG"
"0000004537";"00536";"MAXIXE KG"
"0000004558";"00536";"MAXIXE KG"
"0000003421";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000003551";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000003720";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000003945";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000004058";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000004155";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000004257";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000004263";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000004366";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000004477";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000004537";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000004558";"00537";"PIMENTAO VERDE KG - 1,625 CX"
"0000003421";"00538";"PIMENTINHA KG"
"0000003551";"00538";"PIMENTINHA KG"
"0000003720";"00538";"PIMENTINHA KG"
"0000003945";"00538";"PIMENTINHA KG"
"0000004058";"00538";"PIMENTINHA KG"
"0000004155";"00538";"PIMENTINHA KG"
"0000004257";"00538";"PIMENTINHA KG"
"0000004263";"00538";"PIMENTINHA KG"
"0000004366";"00538";"PIMENTINHA KG"
"0000004477";"00538";"PIMENTINHA KG"
"0000004537";"00538";"PIMENTINHA KG"
"0000004558";"00538";"PIMENTINHA KG"
"0000003421";"00539";"QUIABO KG"
